## MOW 0.1.3	mya	CC BY 4.0
01296462-v	mya:lemma	တပ်
01309701-v	mya:lemma	တူး
01311103-v	mya:lemma	တူး
01324996-v	mya:lemma	ကိုယ့်ကိုယ်ကိုသတ်သေ
01325853-n	mya:lemma	ချို
01325853-n	mya:lemma	ဦးချို
01340439-v	mya:lemma	တပ်
01345109-v	mya:lemma	ပိတ်
01348838-v	mya:lemma	မူလီစုပ်
01352806-v	mya:lemma	ရစ်
01352806-v	mya:lemma	ဝက်အူစုပ်
01354673-v	mya:lemma	သွယ်
01356370-v	mya:lemma	တပ်
01356582-v	mya:lemma	နှိပ်
01380638-v	mya:lemma	စု
01384439-v	mya:lemma	စုစည်း
01390616-v	mya:lemma	နှိပ်
01391351-a	mya:lemma	သေး
01391351-a	mya:lemma	နည်း
01391351-a	mya:lemma	ကလေး
01391351-a	mya:lemma	သိမ်
01395782-v	mya:lemma	ငွေရည်စိမ်
01396328-v	mya:lemma	ငွေရည်စိမ်
01409581-a	mya:lemma	တူ
01409581-a	mya:lemma	ဆင်
01409581-a	mya:lemma	ဆင်တူ
01410606-a	mya:lemma	တူ
01410606-a	mya:lemma	ဆင်
01410606-a	mya:lemma	ဆင်တူ
01411065-a	mya:lemma	တူ
01411065-a	mya:lemma	ဆင်တူ
01421622-v	mya:lemma	သွင်း
01437254-v	mya:lemma	ပို့
01437963-a	mya:lemma	ရှည်
01442186-a	mya:lemma	တို
01447257-v	mya:lemma	နှိပ်
01449974-v	mya:lemma	သယ်
01452593-a	mya:lemma	ကျယ်
01457486-a	mya:lemma	လုံး
01466543-v	mya:lemma	ဆင်
01466978-v	mya:lemma	စပ်
01471043-v	mya:lemma	အဓမ္မခေါ်သွား
01487185-v	mya:lemma	ခင်း
01488616-a	mya:lemma	မ
01494310-v	mya:lemma	ထား
01517081-a	mya:lemma	စစ်
01517662-v	mya:lemma	ရောယှက်
01517662-v	mya:lemma	ယှက်
01517662-v	mya:lemma	ပေါင်းယှက်
01518386-a	mya:lemma	စစ်
01522052-v	mya:lemma	ရစ်
01522276-v	mya:lemma	ပတ်
01522716-v	mya:lemma	ပတ်
01524523-v	mya:lemma	ရေကြီး
01528821-v	mya:lemma	မြှုပ်
01530098-v	mya:lemma	မြှုပ်
01530098-v	mya:lemma	မြှုပ်နှံ
01531265-v	mya:lemma	နှိပ်
01533974-a	mya:lemma	များ
01533974-a	mya:lemma	ကြူး
01539573-n	mya:lemma	စာကလေး
01548718-v	mya:lemma	ဖျက်
01551633-a	mya:lemma	များ
01552519-v	mya:lemma	ညှပ်
01553629-a	mya:lemma	များ
01564144-v	mya:lemma	ဖျက်
01566185-v	mya:lemma	ဖျက်
01568375-a	mya:lemma	အပြည်ပြည်ဆိုင်ရာ
01572224-v	mya:lemma	ဖျက်
01572510-v	mya:lemma	ဖျက်
01578513-v	mya:lemma	စိမ်
01579813-v	mya:lemma	ခင်း
01588172-a	mya:lemma	မဟာ
01589045-a	mya:lemma	လက်လွယ်
01610666-v	mya:lemma	ဖျက်
01613239-v	mya:lemma	သွင်း
01613294-n	mya:lemma	လင်းယုန်
01619929-v	mya:lemma	ဖျက်
01634424-v	mya:lemma	ဆင်
01638438-a	mya:lemma	ဟောင်း
01639765-n	mya:lemma	ဖားပြုပ်
01639765-n	mya:lemma	ဖါး
01640850-a	mya:lemma	သစ်
01646075-v	mya:lemma	ပြု
01646941-a	mya:lemma	ငယ်
01649031-a	mya:lemma	ကလေး
01651293-v	mya:lemma	ပြု
01654628-v	mya:lemma	တည်
01656788-v	mya:lemma	ထောင်
01656788-v	mya:lemma	ဆင်
01657977-v	mya:lemma	ဖျက်
01661091-n	mya:lemma	တွားသွားကောင်
01661804-v	mya:lemma	ဖျက်
01667132-v	mya:lemma	ပြင်
01675963-v	mya:lemma	ဆင်
01687167-a	mya:lemma	လန်း
01691474-a	mya:lemma	မိစ္ဆာ
01698271-v	mya:lemma	ရေး
01705494-v	mya:lemma	ဖွဲ့
01710260-a	mya:lemma	အခမဲ့
01712704-v	mya:lemma	လုပ်
01712704-v	mya:lemma	ပြု
01743605-n	mya:lemma	စပါးအုံး
01744100-n	mya:lemma	စပါးအုံးမြွေ
01747945-v	mya:lemma	ပုံနှိပ်
01788048-a	mya:lemma	ကျား
01790807-a	mya:lemma	ကျား
01792042-n	mya:lemma	ကြက်ကလေး
01792158-n	mya:lemma	ကြက်ဖ
01805684-v	mya:lemma	လွမ်း
01805684-v	mya:lemma	ဆာ
01805684-v	mya:lemma	တသ
01828405-v	mya:lemma	အောက်မေ့
