## MOW 0.1.3	mya	CC BY 4.0
10648696-n	mya:lemma	ဇာတ်လိုက်မင်းသမီး
10665698-n	mya:lemma	ကျောင်းသူ
10676569-n	mya:lemma	ဇာတ်ရံ
10682953-n	mya:lemma	ရည်းစား
10694258-n	mya:lemma	ဆရာမ
10722385-n	mya:lemma	ပညာသင်
10722385-n	mya:lemma	အလုပ်သင်
10725280-n	mya:lemma	ဘာသာပြန်
10727256-n	mya:lemma	ငွေထိန်း
10727256-n	mya:lemma	ဘဏ္ဍာထိန်း
10742384-n	mya:lemma	ငွေတိုးချသူ
10780632-n	mya:lemma	မယား
10787470-n	mya:lemma	မိန်းမ
11126490-n	mya:lemma	လီနင်
11184092-n	mya:lemma	မိုဟာမက်
11249322-n	mya:lemma	ပူတင်
11428023-n	mya:lemma	ခြည်
11428023-n	mya:lemma	အလင်းတန်း
11443721-n	mya:lemma	လေမုန်တိုင်း
11454591-n	mya:lemma	ရေကြီးခြင်း
11462526-n	mya:lemma	မုန်တိုင်း
11473954-n	mya:lemma	မီး
11473954-n	mya:lemma	အလင်း
11480930-n	mya:lemma	သံ
11482706-n	mya:lemma	နှင်း
11484975-n	mya:lemma	လရောင်
11491026-n	mya:lemma	မီးစုန်း
11501381-n	mya:lemma	မိုး
11501737-n	mya:lemma	မိုးသက်မုန်တိုင်း
11508092-n	mya:lemma	အငွေ့
11508092-n	mya:lemma	ငွေ့
11508382-n	mya:lemma	နှင်း
11519121-n	mya:lemma	မိုးကြိုး
11519253-n	mya:lemma	လေမုန်တိုင်း
11524662-n	mya:lemma	ဥတု
11525955-n	mya:lemma	လေ
11669335-n	mya:lemma	ပန်း
11669921-n	mya:lemma	ပန်း
11683989-n	mya:lemma	အစေ့
11717399-n	mya:lemma	ကြာပန်း
11717399-n	mya:lemma	ကြာ
11835568-n	mya:lemma	ဟင်းနုနွယ်
11842204-n	mya:lemma	ရှားစောင်း
11875691-n	mya:lemma	ဂေါ်ဖီထုပ်
11876634-n	mya:lemma	ဂေါ်ဖီပန်း
11960245-n	mya:lemma	ဒေလီယာ
12142085-n	mya:lemma	ဂျုံ
12190869-n	mya:lemma	ဒူရင်းသီး
12190869-n	mya:lemma	ဒူးရင်း
12268246-n	mya:lemma	ဝက်သစ်ချ
12306717-n	mya:lemma	စံပယ်
12437047-n	mya:lemma	ရှားစောင်းလက်ပတ်
12437047-n	mya:lemma	ရှားစောင်းလက်ပတ်ပင်
12560016-n	mya:lemma	ပဲ
12587803-n	mya:lemma	အုန်း
12607456-n	mya:lemma	နာနတ်ပင်
12607456-n	mya:lemma	နာနတ်
12620196-n	mya:lemma	နှင်းဆီ
12708293-n	mya:lemma	ကမ္ဗလာ
12711596-n	mya:lemma	သံပရို
12711596-n	mya:lemma	ရှောက်ပင်
12745386-n	mya:lemma	ကြက်မောက်
12745386-n	mya:lemma	ကြက်မောက်သီး
12761284-n	mya:lemma	သရက်သီး
12924452-n	mya:lemma	ကြက်ဆူပင်
12924623-n	mya:lemma	ကြက်ဆူ
12924623-n	mya:lemma	ကြက်ဆူပင်
12997919-n	mya:lemma	မှို
13000891-n	mya:lemma	မှို
13001041-n	mya:lemma	မှို
13096035-n	mya:lemma	အသား
13098648-n	mya:lemma	အသား
13152742-n	mya:lemma	အရွက်
13250398-n	mya:lemma	ဘောဂ
13250542-n	mya:lemma	ပိုက်ဆံ
13275495-n	mya:lemma	ငွေကုန်ကြေးကျ
13277886-n	mya:lemma	ငွေကုန်ကြေးကျ
13286254-n	mya:lemma	စရိတ်
13286254-n	mya:lemma	ထောက်ပံ့ကြေး
13318584-n	mya:lemma	အတိုး
13318804-n	mya:lemma	အတိုးရင်းပွား
13353280-n	mya:lemma	ဘောဂ
13354985-n	mya:lemma	ငွေစာရင်း
13359572-n	mya:lemma	ငွေကြေးစုဆောင်းခြင်း
13371866-n	mya:lemma	ငွေသား
13376012-n	mya:lemma	အကြွေးဝယ်ကတ်ပြား
13385913-n	mya:lemma	ငွေစက္ကူ
13386614-n	mya:lemma	ငွေသား
13556893-n	mya:lemma	အခိုး
13556893-n	mya:lemma	အငွေ့
13556893-n	mya:lemma	ငွေ့
13578267-n	mya:lemma	အပြည်ပြည်ဆိုင်ရာ ယူနစ် စနစ်
13604275-n	mya:lemma	မက်ထရစ်
13650045-n	mya:lemma	ပေ
13659162-n	mya:lemma	မီတာ
13659760-n	mya:lemma	ကီလိုမီတာ
13661820-n	mya:lemma	ယူရိုငွေ
13663820-n	mya:lemma	ဘတ်
13732078-n	mya:lemma	အပိုင်းဂဏန်း
13742358-n	mya:lemma	သုည
13742573-n	mya:lemma	တစ်
13748763-n	mya:lemma	အစိတ်
13750415-n	mya:lemma	ရာ
13751404-n	mya:lemma	သိန်း
13809207-n	mya:lemma	အပိုင်း
13831176-n	mya:lemma	မြောက်
13832355-n	mya:lemma	အရှေ့
13833375-n	mya:lemma	တောင်
13834399-n	mya:lemma	အနောက်
13840719-n	mya:lemma	နိုင်ငံရေး
13860793-n	mya:lemma	ခဲ
13862780-n	mya:lemma	ရုပ်
13862780-n	mya:lemma	အရုပ်
13863771-n	mya:lemma	အကြောင်း
13863771-n	mya:lemma	ကြောင်း
13871717-n	mya:lemma	အချင်း
13873502-n	mya:lemma	စကြာ
13873502-n	mya:lemma	စက်ဝိုင်း
13875027-n	mya:lemma	အပိုင်း
13881644-n	mya:lemma	ကြယ်ပွင့်
13893786-n	mya:lemma	မြောင်း
13901321-n	mya:lemma	ပြောင်း
13903079-n	mya:lemma	နယ်စပ်
13903079-n	mya:lemma	နယ်နိမိတ်
13956488-n	mya:lemma	အမှန်
13956488-n	mya:lemma	အစစ်အမှန်
13963192-n	mya:lemma	အသက်
13969700-n	mya:lemma	ငြိမ်းချမ်းရေး
13970236-n	mya:lemma	ငြိမ်းချမ်းရေး
13983515-n	mya:lemma	အမှောင်
13994148-n	mya:lemma	လွတ်လပ်ရေး
14186541-n	mya:lemma	အဆစ်အမြစ်ရောင် ရောဂါ
14239918-n	mya:lemma	ကင်ဆာရောဂါ
14322699-n	mya:lemma	ဝေဒနာ
14360459-n	mya:lemma	ကြွက်တက်ခြင်း
14498096-n	mya:lemma	ချေး
14498096-n	mya:lemma	ကြေး
14519366-n	mya:lemma	ရာသီဥတု
14521302-n	mya:lemma	လေမုန်တိုင်း
14540765-n	mya:lemma	ဘေး
14625458-n	mya:lemma	သတ္တု
14635722-n	mya:lemma	ကြေးနီ
14638799-n	mya:lemma	ရွှေ
14642417-n	mya:lemma	သံ
14643467-n	mya:lemma	ခဲ
14645346-n	mya:lemma	ပြဒါး
14654954-n	mya:lemma	ငွေ
14682133-n	mya:lemma	မော်လီကျူး
14686913-n	mya:lemma	ဓာတ်ဆီ
14696793-n	mya:lemma	ကျောက်
14699752-n	mya:lemma	ကျောက်
14699752-n	mya:lemma	ကျောက်မျက်ရတနာ
14699752-n	mya:lemma	ရတနာ
14759722-n	mya:lemma	သားရေ
14834132-n	mya:lemma	နှင်း
14842847-n	mya:lemma	တေဇော
14842992-n	mya:lemma	မြေ
14844414-n	mya:lemma	မြေ
14845743-n	mya:lemma	ရေ
14853947-n	mya:lemma	အလေး
14854847-n	mya:lemma	ချေး
14871078-n	mya:lemma	ကျောက်
14889479-n	mya:lemma	သံချေး
14890286-n	mya:lemma	နှမ်းဖတ်ကျောက်
14915622-n	mya:lemma	နှင်း
14925526-n	mya:lemma	အမွှေးတိုင်
14939445-n	mya:lemma	ရည်
14940100-n	mya:lemma	ရည်
14943580-n	mya:lemma	သစ်
14956325-n	mya:lemma	ဗွက်
14966667-n	mya:lemma	ဆီ
14974264-n	mya:lemma	စက္ကူ
14980579-n	mya:lemma	ရေနံ
15008607-n	mya:lemma	မိုး
15046900-n	mya:lemma	ခဲ
15055633-n	mya:lemma	အငွေ့
15055633-n	mya:lemma	ငွေ့
15098161-n	mya:lemma	သစ်
15113229-n	mya:lemma	ခေတ်
15119919-n	mya:lemma	ခု
15120346-n	mya:lemma	ခေတ်
15155220-n	mya:lemma	နေ့
15159583-n	mya:lemma	နေ့စွဲ
15159583-n	mya:lemma	ရက်စွဲ
15163797-n	mya:lemma	တနင်္ဂနွေ
15164105-n	mya:lemma	အင်္ဂါ
15164233-n	mya:lemma	ဗုဒ္ဓဟူး
15164570-n	mya:lemma	စနေ
15165289-n	mya:lemma	နံနက်
15165490-n	mya:lemma	မွန်းတည့်
15166191-n	mya:lemma	နေ့လယ်
15166191-n	mya:lemma	နေ့ခင်
15166191-n	mya:lemma	ညနေ
15166462-n	mya:lemma	ညနေခင်း
15167906-n	mya:lemma	ညချမ်း
15196186-n	mya:lemma	ခရစ္စမတ်
15203791-n	mya:lemma	နှစ်
15209413-n	mya:lemma	လ
15210486-n	mya:lemma	ဖေဖော်ဝါရီ
15210870-n	mya:lemma	မတ်
15211189-n	mya:lemma	ဧပြီ
15212167-n	mya:lemma	ဇူလိုင်
15212455-n	mya:lemma	ဩဂုတ်
15212739-n	mya:lemma	စက်တင်ဘာ
15227846-n	mya:lemma	နာရီ
15234764-n	mya:lemma	မိနစ်
15235126-n	mya:lemma	စက္ကန့်
15236859-n	mya:lemma	ဆောင်းဦး
15238895-n	mya:lemma	မိုး
15238895-n	mya:lemma	မိုးရာသီ
15243590-n	mya:lemma	ကမ္ဘာ
15243590-n	mya:lemma	ကပ်
15244650-n	mya:lemma	အချိန်
15247518-n	mya:lemma	ခေတ်
15248020-n	mya:lemma	ခေတ်
15248269-n	mya:lemma	ကပ်
15248269-n	mya:lemma	အဏုယုဂ်
15248564-n	mya:lemma	ခေတ်
15249799-n	mya:lemma	နှစ်ပတ်လည်နေ့
15254028-n	mya:lemma	ခေတ်
15259284-n	mya:lemma	အမှောင်ခေတ်
15266685-n	mya:lemma	မဇ္ဇိမ
15268094-n	mya:lemma	ညချမ်း
